,VAR_ID_CODIGO,VAR_NOMBRE_CODIGO,INT_ARTICULO,VAR_ESTADO_CODIGO,VAR_DETALLE_CODIGO,VAR_ID_BASELEGAL
0,677fd607b83e42c190d63e8808efef8f,Código del Trabajo,81,Activo,ccJTiD0CFex24YIMj47G,e4dff51fd7f14a849eb35941c0ad4f8f
1,123258aeef0e43cf822c92b0786fe854,Código del Trabajo,82,Activo,3u0aOhc3UrR9RsQgv8JV,b054e82702c84e6692e793fc44d5ebe8
2,7d9b5c7319ad4375837620a0f581d33a,Código del Trabajo,7,Activo,1qBJPp2cHGXc1lmRpmbP,b3d15acbfa3549f08d3216cdf89de5e9
3,1d6f22d4858146a6ae9cc726f0c54684,Código del Trabajo,68,Activo,GmL1MEfDn99lmH8WSeBy,16746199f51644b9aae50d0264ad3e04
4,6d4d9d61a9b44c828ac8af8881dad262,Código Cívil,33,Activo,Gnrul2tbyd1qyBHbutE1,c3bbca0f45c84695b4d817610375f5c6
5,22a503effd244bd79b4eda22434bfae3,Código del Trabajo,18,Inactivo,P9fjO9bu7YHl4Dcjsrdg,77283adb5fd4434db33bd60fa4c8be66
6,af14b22d35f1442997b8af3e72f57427,Código del Trabajo,23,Activo,jvC7lXNfkQ6hy2FJ1BzM,c66cb2d35cce46e48524f1b08210655e
7,e5ca2ae8aab04f7faadcee973ff4ab8a,Código del Trabajo,77,Activo,sJ7L1RSzyhQEHdQV5yTI,ea867409e5f140b3b853d52b1aa298aa
8,e3cc5bbc903b47489f2db3d2d7a33763,Código del Trabajo,70,Activo,aALZOpTFZIgmcRERrrtV,3a8d735508c4448c893e92cfe092f1aa
9,affab9a15da546038ff1f56f553ed178,Código del Trabajo,61,Activo,KRV56WHTwRJQQO8oakGi,13ccfd669bf4490ca2c5565d7a8dde20
10,7e85fdb0788942c3bf2f0d0c3c21f4a2,Código del Trabajo,32,Activo,5yt3defJFspnVFY6PRNw,9775961c405a464c98a066b78241027e
11,d49dc15a938e436aa905600039d3a9ae,Código Orgánico Integral,69,Activo,rfql1UmYdNoy7DS4q9Ox,2c501b44a2154a5da787f6d0a8025a93
12,70338fddc51247dcb471cdade8ec9b12,Código de Comercio,31,Activo,menCeFtQxfzwanTRKiVs,66c19afb9fb944babc8c2a10c938bde3
13,feb3aaf3afb34ed9b389cbe9504fe51e,Código del Trabajo,12,Activo,0jxf7kh1BwJga8y1PFOi,b6523b58f687407cbb8f833171a3bc29
14,62aae77475d84a2699bad75d06c7087b,Código del Trabajo,59,Activo,cDM03O1b9BVqdsojJJo6,abadbc3aec8e4067a251b8d1900ca942
15,449a913748fa4f35b45a583274222ef2,Código del Trabajo,26,Activo,33wXt6tTGrFggd8uDu3R,e5d5af43c45e4ef786fb3a8acb8ba5a8
16,146bb86c5c0747f6a961f887d0befdba,Código del Trabajo,1,Activo,8vdqQu8U0Ma4kfVxfiQv,247fd7efc78d4e3f975b31c9ea1eb557
17,cad04ddee6ae463381a48677310ec9b2,Código de Comercio,47,Inactivo,f0OttoNCSqiTIdpdDAcH,5594030d326f4be59c973e3114f4a7ff
