,INT_ID_PERFIL,VAR_DESCRIPCION_PERFIL,VAR_NOMBRE_PERFIL,INT_ID_USUARIO
0,dc7f5f91c9aa4988af6221ed59ca8808,Creado hace 11 años,Usuario,82fde6e547f342e08e6dbafb76eabd89
1,64e197d4e63f46c789445b6a96ffac1a,Creado hace 4 años,Administrador,a9d1ff88c8c8472fb470f4ff13d81fb4
2,950b02e1c2d14be08bd6180a076523d0,Creado hace 7 años,Usuario,93a381cadf064e71a44803ba88a1fbfe
3,785a1f0824c542b2b34f2808c2e8ea3d,Creado hace 10 años,Usuario,53693f37716e484b9f8e27d5578db9ac
4,2932e8ad81794eea8683107ffdcdd3b2,Creado hace 10 años,Usuario,67f3e8d2b7714b48a822971d15a6f6cb
5,82ad661644dc45bbb946633d1c8cc0f0,Creado hace 4 años,Usuario,0b5f03db46a54892841165d8083244b4
6,739bd6da87344c5dbd4e80d8c47ffeec,Creado hace 10 años,Administrador,2d7518676fa645d4b3547db4eb361d84
7,1d6c3d90dee844a4be9a632e07c8bca7,Creado hace 3 años,Usuario,be920bd7c264443e87f62e96b8bc4b77
8,7207ade82f7d489fb10ef123ac34060e,Creado hace 3 años,Usuario,d9bdd10700f842c7bf2b2579ca5fd70f
9,c5e4807719b74968953f10c5f88f636d,Creado hace 4 años,Usuario,c96f2e69e6604755803fb2550397edbd
10,0920461f198e485a9fa152a3920a2583,Creado hace 7 años,Administrador,d1b10f4c449849c7b621a3cec376e4b3
11,b4374e8121364b69bd0d85136cffad7b,Creado hace 5 años,Administrador,71b7d2b1a7b347b2a3334e219eb9a933
12,54adede4de9f44afbb49fda55b84a767,Creado hace 2 años,Administrador,3664981b842e4cee9a105505f5559684
13,2b5bc650cc8f4a3199e45845d5afcbb7,Creado hace 3 años,Administrador,bf9db01545be4cf9b3ecdcbb5784da93
14,b8d760c95f9c49128a3313f83ad02254,Creado hace 7 años,Administrador,f290385dab8c47f0879d33c7e6961c48
15,84ff5101fc2248b4865abce9e1bd4070,Creado hace 4 años,Usuario,ff0f4607f40243aeb2287af2058d6308
16,77a26397bd7445008aaa5b910807a921,Creado hace 10 años,Usuario,2975b3a7d0f444aeb5b6d6e93792ff2b
17,b7230195e6d14f19a01c36e49e596e8f,Creado hace 9 años,Administrador,f69122de0a324352a7e4474a47aa1dab
18,f426e7854eda48b68e4d8245ddf30dc0,Creado hace 2 años,Usuario,898f4c0f0de04ae3a56eac8f49e1a35e
19,ca62859a0d5a45d19aabaf8ff319d729,Creado hace 10 años,Usuario,e724f299c5fe44c39d9e87d906cdd159
